codigo_dato,descripcion_dato,detalle_dato
100010303010,Hipotecarios,"Activo (BALRES). Hipotecarios. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Créditos con garantía hipotecaria (vivienda u otros inmuebles). En moneda homogénea, una suba indica expansión real del crédito hipotecario; una baja, contracción o amortizaciones superiores a nuevas altas."
100010303015,Prendarios,"Activo (BALRES). Prendarios. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Créditos con garantía prendaria (por ejemplo, vehículos o bienes registrables). En moneda homogénea, refleja la evolución real de este segmento de crédito."
100010303020,Personales,"Activo (BALRES). Personales. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Préstamos personales/consumo (sin garantía real específica). En moneda homogénea, una suba indica mayor crédito al consumo en términos reales; una baja, retracción o mayores cancelaciones."
100010303030,Otros,"Activo (BALRES). Otros. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Rubro residual: agrupa partidas que no se clasifican en los subrubros detallados dentro del mismo bloque. En moneda homogénea, si crece mucho conviene revisar qué partidas lo componen (puede esconder cambios de clasificación)."
100010303045,Intereses y dif. cotiz. deveng. a cobrar,"Activo (BALRES). Intereses y dif. cotiz. deveng. a cobrar. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Intereses devengados a cobrar y diferencias de cotización devengadas asociadas a la cartera. En moneda homogénea, una suba puede reflejar mayor stock de crédito o mayores devengamientos reales (tasa efectiva/atrasos)."
100010303050,Cobros no aplicados,"Activo (BALRES). Cobros no aplicados. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Fondos cobrados pendientes de imputación contable (por ejemplo, pagos recibidos aún no asignados a un concepto). En moneda homogénea, cambios persistentes pueden sugerir cuestiones operativas (timing de registración) más que cambios de negocio."
100010303055,Intereses documentados,"Activo (BALRES). Intereses documentados. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Intereses instrumentados/documentados (por ejemplo, intereses capitalizados o documentados en instrumentos), asociados a préstamos. En moneda homogénea, una suba puede reflejar mayor capitalización/documentación real de intereses o reestructuraciones."
100010303060,Ajustes NIIF,"NIIF significa *Normas Internacionales de Información Financiera* (equivalente a IFRS). Este rubro suele reflejar ajustes/reclasificaciones para medir o presentar partidas según NIIF (por ejemplo, costo amortizado/valor razonable, deterioros, reclasificaciones). Es relevante porque impacta en la comparabilidad interanual y puede mover patrimonio o resultado sin que cambie el negocio subyacente. En moneda homogénea, una suba indica que el efecto neto de esos ajustes crece en términos reales (cambios normativos, reexpresiones o mayores diferencias de medición); una baja sugiere reversión o menor brecha."
100010304000,Previsiones,"Activo (BALRES). Previsiones. Subrubro dentro de **A C T I V O**. Previsiones por incobrabilidad/deterioro asociadas a la cartera (contracuenta que reduce el valor neto de los activos crediticios). En moneda homogénea, una suba indica mayor cobertura/deterioro real; una baja, recuperos o mejora de cartera (o cambio de criterios)."
100010400000,Otros Cred.por Interm.Finan.,"Activo (BALRES). Otros Cred.por Interm.Finan.. Subrubro dentro de **A C T I V O**. Otros créditos por intermediación financiera: rubros residuales vinculados a operaciones de intermediación no capturados en subcuentas principales. En moneda homogénea, una suba indica que estos componentes ganan peso real; conviene mirar composición si crece mucho."
100010401000,Montos a cobrar por ventas contado a liq. y a término,"Activo (BALRES). Montos a cobrar por ventas contado a liq. y a término. Subrubro dentro de **A C T I V O**. Cuentas a cobrar por operaciones de compra/venta de instrumentos (contado a liquidar y a término): refleja la liquidación pendiente. En moneda homogénea, movimientos pueden reflejar timing de liquidación y volumen real operado."
100010409000,Otros,"Activo (BALRES). Otros. Subrubro dentro de **A C T I V O**. Rubro residual: agrupa partidas que no se clasifican en los subrubros detallados dentro del mismo bloque. En moneda homogénea, si crece mucho conviene revisar qué partidas lo componen (puede esconder cambios de clasificación)."
100010500000,Credito por arrendamiento financiero,"Activo (BALRES). Credito por arrendamiento financiero. Subrubro dentro de **A C T I V O**. Créditos por arrendamiento financiero (leasing): saldos a cobrar por contratos de leasing. En moneda homogénea, indica la evolución real del leasing como producto."
100010600000,Part. en otras Sociedades,"Activo (BALRES). Part. en otras Sociedades. Subrubro dentro de **A C T I V O**. Participaciones en otras sociedades: inversiones permanentes/participaciones accionarias. En moneda homogénea, una suba refleja mayor inversión real o revaluaciones; una baja, desinversiones/deterioros."
100010600005,En entidades financieras,"Activo (BALRES). En entidades financieras. Subrubro dentro de **Part. en otras Sociedades**. Participaciones específicamente en entidades financieras (inversiones accionarias en bancos u otras EF). En moneda homogénea, cambios reflejan decisiones de inversión real y/o valuaciones."
100010600020,Otras,"Activo (BALRES). Otras. Subrubro dentro de **Part. en otras Sociedades**. Rubro residual: agrupa partidas que no se clasifican en los subrubros detallados dentro del mismo bloque. En moneda homogénea, si crece mucho conviene revisar qué partidas lo componen (puede esconder cambios de clasificación)."
100010600030,Deterioro de valor,"Activo (BALRES). Deterioro de valor. Subrubro dentro de **Part. en otras Sociedades**. Deterioro de valor (impairment) reconocido sobre activos/inversiones, según normas contables. En moneda homogénea, una suba suele reflejar mayores pérdidas reales por deterioro o cambio de valuaciones."
100010700000,Créditos Diversos,"Activo (BALRES). Créditos Diversos. Subrubro dentro de **A C T I V O**. Otros créditos/acreencias no clasificadas en rubros principales (por ejemplo, deudores varios, impuestos a favor, etc.). En moneda homogénea, variaciones grandes suelen responder a composición específica; conviene revisar si crece de forma persistente."
100010800000,"Propiedad, plantas y equipo","Activo (BALRES). Propiedad, plantas y equipo. Subrubro dentro de **A C T I V O**. Activos fijos (bienes de uso): inmuebles, instalaciones, equipamiento, etc. En moneda homogénea, una suba indica inversión real (CAPEX) o revalúos; una baja, depreciación/ventas."
100010900000,Bienes Diversos,"Activo (BALRES). Bienes Diversos. Subrubro dentro de **A C T I V O**. Otros bienes/activos no financieros no encuadrados en PPE o intangibles. En moneda homogénea, movimientos suelen ser por altas/bajas de activos específicos."
100011000000,Activos Intangibles,"Activo (BALRES). Activos Intangibles. Activos intangibles: software, licencias, plusvalía u otros intangibles reconocidos contablemente. En moneda homogénea, una suba suele indicar inversiones/adquisiciones; una baja, amortizaciones/deterioros."
100011100000,Filiales en el Exterior,"Activo (BALRES). Filiales en el Exterior. Subrubro dentro de **Activos Intangibles**. Saldos vinculados a filiales/sucursales en el exterior (según presentación del BCRA). En moneda homogénea, cambios reflejan variaciones reales de esas posiciones y/o tipo de cambio si están valuadas en moneda extranjera."
100011200000,Partidas Pend. de Imputación,"Activo (BALRES). Partidas Pend. de Imputación. Subrubro dentro de **Activos Intangibles**. Partidas pendientes de imputación (activo): cuentas transitorias con importes a asignar a un rubro definitivo. En moneda homogénea, picos pueden reflejar cuestiones operativas de cierre/registración más que cambios estructurales."
100020000000,P A S I V O,"Encabezado del estado de situación patrimonial. **Pasivo total**: suma de todas las obligaciones con terceros (depósitos, deuda emitida, líneas, etc.). Es la fuente externa de fondeo del banco. En moneda homogénea, una suba indica más fondeo real (más depósitos o más deuda); una baja, salida de fondos o cancelación de deuda. La diferencia con el activo da el patrimonio neto."
100020100000,Depósitos,"Pasivo (BALRES). Depósitos. Subrubro dentro de **P A S I V O**. Depósitos del público y del sector financiero (principal fuente de fondeo). Incluye cuentas corrientes, cajas de ahorro, plazos fijos, etc. En moneda homogénea, una suba indica crecimiento real del fondeo por depósitos; una baja, salida real de depósitos o migración a otros instrumentos."
100020101000,Sector Público no financiero,"Pasivo (BALRES). Sector Público no financiero. Subrubro dentro de **P A S I V O**. Exposición/financiamiento al sector público no financiero (gobierno nacional, provincias, municipios, etc.), según clasificación regulatoria. En moneda homogénea, variaciones reflejan cambios reales en la exposición a ese sector (no solo inflación)."
100020102000,Sector Financiero,"Pasivo (BALRES). Sector Financiero. Subrubro dentro de **P A S I V O**. Operaciones con otras entidades financieras (interbancario, colocaciones o financiamiento entre entidades). En moneda homogénea, una suba indica mayor exposición/intermediación interbancaria en términos reales."
100020103000,Sector Privado no Financiero y Residentes en el Ext.,"Pasivo (BALRES). Sector Privado no Financiero y Residentes en el Ext.. Subrubro dentro de **P A S I V O**. Cartera/exposición al sector privado no financiero y residentes en el exterior, según clasificación del BCRA. En moneda homogénea, permite comparar el tamaño real de la cartera privada entre períodos."
100020103001,Cuentas corrientes,"Pasivo (BALRES). Cuentas corrientes. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Depósitos a la vista en cuentas corrientes (alta liquidez para el depositante). En moneda homogénea, subas/bajas muestran cambios reales en depósitos transaccionales."
100020103005,Caja de ahorros,"Pasivo (BALRES). Caja de ahorros. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Depósitos a la vista en cajas de ahorro. En moneda homogénea, refleja cambios reales en saldos minoristas/ahorristas."
100020103010,Plazo fijo e inversiones a plazo,"Pasivo (BALRES). Plazo fijo e inversiones a plazo. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Depósitos a plazo (plazo fijo e inversiones a término): fondeo más estable, sensible a tasas. En moneda homogénea, subas pueden indicar mayor preferencia real por colocaciones a plazo; bajas, migración a otros activos (dólar, fondos, etc.)."
100020103015,Otros,"Pasivo (BALRES). Otros. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Rubro residual: agrupa partidas que no se clasifican en los subrubros detallados dentro del mismo bloque. En moneda homogénea, si crece mucho conviene revisar qué partidas lo componen (puede esconder cambios de clasificación)."
100020103020,Intereses y dif. cotiz. deveng. a pagar,"Pasivo (BALRES). Intereses y dif. cotiz. deveng. a pagar. Subrubro dentro de **Sector Privado no Financiero y Residentes en el Ext.**. Intereses devengados a pagar y diferencias de cotización devengadas asociadas a obligaciones. En moneda homogénea, una suba puede reflejar mayor stock de pasivos remunerados o mayores devengamientos reales."
100020103025,Ajustes NIIF,"NIIF significa *Normas Internacionales de Información Financiera* (equivalente a IFRS). Este rubro suele reflejar ajustes/reclasificaciones para medir o presentar partidas según NIIF (por ejemplo, costo amortizado/valor razonable, deterioros, reclasificaciones). Es relevante porque impacta en la comparabilidad interanual y puede mover patrimonio o resultado sin que cambie el negocio subyacente. En moneda homogénea, una suba indica que el efecto neto de esos ajustes crece en términos reales (cambios normativos, reexpresiones o mayores diferencias de medición); una baja sugiere reversión o menor brecha."
100020200000,Otras Oblig.por Intermed. Financ.,"Pasivo (BALRES). Otras Oblig.por Intermed. Financ.. Subrubro dentro de **P A S I V O**. Otras obligaciones por intermediación financiera: pasivos propios de la operatoria financiera no incluidos en depósitos u otras líneas principales. En moneda homogénea, una suba indica mayor financiamiento real por estas vías."
100020200005,Obligaciones Negociables,"Pasivo (BALRES). Obligaciones Negociables. Subrubro dentro de **Otras Oblig.por Intermed. Financ.**. Deuda emitida en el mercado (bonos/ON) por la entidad. En moneda homogénea, una suba indica mayor endeudamiento real vía mercado; una baja, amortizaciones o recompras."
100020200010,Líneas de Créditos del Exterior,"Pasivo (BALRES). Líneas de Créditos del Exterior. Subrubro dentro de **Otras Oblig.por Intermed. Financ.**. Financiamiento obtenido del exterior (líneas de crédito externas). En moneda homogénea, cambios reflejan variaciones reales; si está en moneda extranjera, parte del movimiento puede venir por tipo de cambio."
100020200020,Montos a pagar por compras contado a liq. y a término,"Pasivo (BALRES). Montos a pagar por compras contado a liq. y a término. Subrubro dentro de **Otras Oblig.por Intermed. Financ.**. Cuentas a pagar por operaciones de compra/venta de instrumentos (contado a liquidar y a término): refleja liquidación pendiente. En moneda homogénea, movimientos pueden reflejar timing de liquidación y volumen real operado."
100020200090,Otras,"Pasivo (BALRES). Otras. Subrubro dentro de **Otras Oblig.por Intermed. Financ.**. Rubro residual: agrupa partidas que no se clasifican en los subrubros detallados dentro del mismo bloque. En moneda homogénea, si crece mucho conviene revisar qué partidas lo componen (puede esconder cambios de clasificación)."
100020300000,Obligaciones Diversas,"Pasivo (BALRES). Obligaciones Diversas. Subrubro dentro de **P A S I V O**. Otros pasivos no financieros (proveedores, impuestos a pagar, remuneraciones, etc.), según clasificación del BCRA. En moneda homogénea, subas persistentes pueden indicar mayor endeudamiento operativo real."
100020400000,Provisiones,"Pasivo (BALRES). Provisiones. Subrubro dentro de **P A S I V O**. Provisiones por contingencias (juicios, garantías, obligaciones probables) reconocidas como pasivo. En moneda homogénea, una suba sugiere mayor carga real de contingencias; una baja, uso/reversión de provisiones."
100020500000,Obligaciones Subordinadas,"Pasivo (BALRES). Obligaciones Subordinadas. Subrubro dentro de **P A S I V O**. Deuda subordinada: pasivo cuyo cobro está subordinado a otros acreedores (a veces computa como capital regulatorio). En moneda homogénea, cambios reflejan emisiones/amortizaciones reales de este instrumento."
100020600000,Partidas Pendientes de Imputación,"Pasivo (BALRES). Partidas Pendientes de Imputación. Subrubro dentro de **P A S I V O**. Partidas pendientes de imputación (pasivo): importes transitorios a asignar a un rubro definitivo. En moneda homogénea, picos pueden responder a cuestiones operativas de cierre/registración."
100030000000,P A T R I M O N I O   N E T O,"Encabezado del estado de situación patrimonial. **Patrimonio neto total**: capital propio del banco (capital social + aportes + reservas + ORI acumulado + resultados no asignados). Es la base de cálculo del ROE y del apalancamiento. En moneda homogénea, una suba indica acumulación real de capital (resultados retenidos o aportes); una baja, distribución de dividendos, pérdidas o desafectación de reservas. Es la ""piel en el juego"" de los accionistas."
100030100000,"Capital, Aportes, Reservas y ORI acumulado","Patrimonio neto (BALRES). Capital, Aportes, Reservas y ORI acumulado. Subrubro dentro de **P A T R I M O N I O   N E T O**. Componentes del patrimonio: capital social, aportes, reservas y Otros Resultados Integrales (ORI) acumulados. En moneda homogénea, una suba indica fortalecimiento real del capital propio (aportes o resultados/ORI acumulados)."
100030600000,Resultados no asignados,"Patrimonio neto (BALRES). Resultados no asignados. Subrubro dentro de **P A T R I M O N I O   N E T O**. Resultados acumulados (utilidades/pérdidas retenidas) no asignados a reservas ni distribuidos. En moneda homogénea, permite ver si la acumulación de resultados es real (no solo nominal por inflación)."
100040000000,R D O S. I N T E G R A L E S  A C U M.  D E L  P E R I O D O,"Encabezado del estado de resultados integrales del período. Suma acumulada de ingresos financieros y por servicios, menos egresos financieros, gastos de administración, cargos por incobrabilidad, impuestos y resultado monetario. El saldo de este bloque es la ganancia (o pérdida) neta del período. En moneda homogénea, una suba indica mejora real de la rentabilidad; una baja, deterioro real."
100040100000,Ingresos financieros,"Estado de resultados (BALRES). Ingresos financieros totales del período: intereses cobrados sobre préstamos, títulos y otras colocaciones, más resultado por valuación de activos financieros, ajustes CER/UVA y diferencia de cotización. En moneda homogénea, una suba refleja mayor margen activo real (más volumen, mejor mix o mayores tasas reales); una baja sugiere desmonetización del crédito o tasas reales en caída."
100040100005,Por Intereses,"Estado de resultados (BALRES). Subrubro dentro de **Ingresos financieros**. Intereses devengados específicamente por préstamos y otras colocaciones a tasa de interés (excluye resultado por valuación o diferencias de cambio). Es el ingreso 'puro' de la intermediación crediticia. En moneda homogénea, una suba indica más volumen real de cartera o tasas activas reales más altas; una baja, contracción de cartera o tasas reales más bajas."
100040100090,Otros Ingresos Financieros,"Estado de resultados (BALRES). Subrubro dentro de **Ingresos financieros**. Componentes no-intereses de los ingresos financieros: resultado por valuación de instrumentos a valor razonable, ajustes por inflación (CER/UVA), diferencia de cotización por moneda extranjera, resultado por venta de títulos. En moneda homogénea, picos suelen reflejar cambios de tasa, devaluaciones o reposicionamiento de cartera de inversión más que actividad recurrente."
100040200000,Egresos financieros,"Estado de resultados (BALRES). Costos financieros totales del período: intereses pagados por depósitos, deuda emitida y líneas, más ajustes CER/UVA y diferencias de cotización del pasivo. Es el costo del fondeo. En moneda homogénea, una suba indica encarecimiento real del fondeo (suba de tasas reales o cambio de mix hacia fondeo más caro); una baja, abaratamiento del costo de fondos o caída del stock fondeado."
100040200005,Por Intereses,"Estado de resultados (BALRES). Subrubro dentro de **Egresos financieros**. Intereses pagados por el pasivo remunerado (plazos fijos, ON, líneas, call). Es el costo 'puro' del fondeo a tasa. En moneda homogénea, una suba refleja tasas pasivas reales más altas o mayor volumen de pasivo remunerado; una baja, lo opuesto."
100040200090,Otros Egresos Financieros,"Estado de resultados (BALRES). Subrubro dentro de **Egresos financieros**. Componentes no-intereses: ajuste CER/UVA del pasivo, diferencia de cotización por pasivos en moneda extranjera, resultados por instrumentos a valor razonable cuando son negativos. En moneda homogénea, picos suelen responder a devaluaciones o saltos de inflación más que a cambios de negocio."
100040300000,Cargo por incobrabilidad,"Estado de resultados (BALRES). Constitución neta de previsiones por riesgo crediticio del período: refleja el costo esperado del crédito asignado al período. Una suba indica deterioro de la cartera (más mora prevista) o cambio de política a mayor cobertura; una baja, mejora de la cartera o desafectación de previsiones. Junto con A14 (cobertura) y A9 (mora) define el riesgo crediticio del banco."
100040400000,Ingresos por servicios,"Estado de resultados (BALRES). Comisiones cobradas por servicios bancarios: tarjetas, mantenimiento de cuentas, transferencias, comisiones de cobranzas, banca electrónica, etc. Es el ingreso recurrente NO ligado al margen financiero. En moneda homogénea, una suba sugiere mayor base de clientes o tarifas reales más altas; una baja, caída del transaccional o presión competitiva sobre comisiones."
100040500000,Egresos por servicios,"Estado de resultados (BALRES). Comisiones pagadas a terceros por servicios: redes de pagos, adquirencia, corresponsalías, fees a procesadoras, etc. Es la 'contrapartida' que paga el banco para prestar sus servicios. En moneda homogénea, una suba puede reflejar mayor volumen transaccional o costos crecientes de proveedores; una baja, menor actividad o mejor negociación con proveedores."
100040700000,Gastos de administración,"Estado de resultados (BALRES). Gastos operativos del período: sueldos y cargas sociales del personal, alquileres, sistemas, servicios, amortizaciones, impuestos no a las ganancias, etc. Es el costo de 'mover' el banco. En moneda homogénea, una suba sostenida indica que la inflación interna supera a la del IPC (presión salarial, inversión IT) o expansión de estructura; una baja, eficiencia o reducción real de plantilla/oficinas."
100040800000,Créditos recuperados y previsiones desafectadas,"Estado de resultados (BALRES). Recuperos de créditos previamente castigados y reversión de previsiones por mejora de cartera. Es el espejo positivo del cargo por incobrabilidad. En moneda homogénea, una suba indica recuperos efectivos importantes o desafectación por mejora real de la cartera; una baja, menos recuperos del stock castigado."
100041200000,Resultado monetario,"Estado de resultados (BALRES). Ganancia o pérdida por la posición monetaria neta en contextos inflacionarios (NIIF: ajuste por inflación bajo IAS 29). Refleja el efecto de la inflación sobre activos/pasivos monetarios netos: si los pasivos monetarios superan a los activos monetarios, la inflación 'licúa' deuda y genera ganancia monetaria. En moneda homogénea, una suba grande suele coincidir con períodos de alta inflación; en países con baja inflación es prácticamente cero."
100041300000,Otros,"Estado de resultados (BALRES). Resultados diversos no atribuibles a las grandes líneas (ingresos/egresos financieros, servicios, gastos de administración o cargos por incobrabilidad). Suele incluir resultados extraordinarios o por baja de activos. En moneda homogénea, picos persistentes ameritan revisar la composición porque pueden esconder reclasificaciones o partidas no recurrentes."
100041400000,Impuesto a las ganancias,"Estado de resultados (BALRES). Cargo del período por impuesto a las ganancias (corriente + diferido). En moneda homogénea, una suba refleja resultado antes de impuestos más alto en términos reales o cambios de alícuota efectiva; una baja, menor base imponible real o aprovechamiento de quebrantos/deducciones."
100041500000,Otro resultado integral,"Estado de resultados (BALRES). Componentes que afectan el patrimonio neto sin pasar por resultado neto (NIIF): revaluaciones de PPE, mediciones a valor razonable de instrumentos disponibles para la venta, diferencias de conversión de moneda, etc. En moneda homogénea, una suba refleja revalorización real de activos no operativos; una baja, deterioros o conversiones cambiarias adversas."
100050000000,PARTIDAS FUERA DE BALANCE,"Encabezado del bloque de partidas extracontables. Agrupa exposiciones contingentes (garantías, avales, líneas comprometidas), cuentas de control, posiciones de derivados (nocional) y actividad fiduciaria. NO forman parte del activo o pasivo contable, pero sí del riesgo del banco. Mirar este bloque es esencial cuando el banco tiene actividad importante en garantías, derivados o fideicomisos."
100050100000,Créditos irrecuperables en partidas fuera del balance,"Partidas fuera de balance (BALRES). Créditos castigados (situación 6) que el banco dio de baja del activo pero sigue siguiendo extracontablemente para fines de cobranza/recupero. En moneda homogénea, una suba indica más castigos reales del período; una baja, recuperos contundentes o transferencia de cartera a terceros (venta de cartera mala)."
100050200000,Contingentes acreedoras,"Partidas fuera de balance (BALRES). Obligaciones potenciales del banco a favor de terceros: garantías otorgadas, avales, créditos documentarios, líneas comprometidas no utilizadas. Mide la 'exposición prometida' además del balance. En moneda homogénea, una suba indica mayor riesgo de crédito comprometido (aval/garantía) en términos reales; una baja, menor exposición fuera de balance."
100050300000,De Control acreedoras,"Partidas fuera de balance (BALRES). Cuentas de control acreedoras: registros extracontables para seguimiento interno/regulatorio (p.ej. valores en custodia, garantías recibidas, cheques al cobro). No representan derecho ni obligación en sí mismas. Útil para auditoría y trazabilidad operativa."
100050400000,De Derivados acreedoras,"Partidas fuera de balance (BALRES). Posiciones vendedoras / pasivas en derivados financieros (forwards, swaps, opciones) registradas por su nocional fuera de balance. En moneda homogénea, una suba indica mayor exposición a coberturas de tipo de cambio o tasa; conviene leerla junto con la posición deudora del mismo bloque."
100050500000,De Actividad fiduciaria acreedoras,"Partidas fuera de balance (BALRES). Bienes y operaciones administradas como fiduciario (no propios del banco): patrimonios fideicomitidos, fondos comunes administrados, etc. Mide el negocio de gestión fiduciaria. En moneda homogénea, una suba indica crecimiento real del negocio fiduciario; una baja, salida de patrimonios bajo administración."
100050600000,Contingentes deudoras,"Partidas fuera de balance (BALRES). Derechos potenciales a favor del banco: garantías recibidas, contingencias activas, líneas comprometidas a su favor. En moneda homogénea, una suba indica más cobertura/colateral disponible; una baja, menor respaldo contingente."
100050700000,De Control deudoras,"Partidas fuera de balance (BALRES). Contrapartida deudora de las cuentas de control acreedoras: registro de la otra cara de las operaciones extracontables (custodias, valores recibidos, etc.). Su saldo debería 'matchear' con las cuentas de control acreedoras."
100050800000,De Derivados deudoras,"Partidas fuera de balance (BALRES). Posiciones compradoras / activas en derivados financieros (forwards, swaps, opciones) registradas por su nocional. En moneda homogénea, una suba indica mayor uso de derivados como cobertura o estrategia; una baja, desarme de posiciones."
100050900000,De Actividad fiduciaria deudoras,"Partidas fuera de balance (BALRES). Contrapartida de la actividad fiduciaria: refleja el activo del fideicomiso administrado por el banco como fiduciario (no es activo propio). Junto con la cuenta acreedora, dimensiona el negocio fiduciario."
100060000000,"Importe a netear de operac. y pases, a término y contado a l","Neteo / compensación (BALRES). Importe a netear de operac. y pases, a término y contado a l. Importes a compensar (netear) por operaciones y pases/contado y a término, para evitar doble conteo en exposiciones brutas. En moneda homogénea, una suba puede reflejar mayor volumen real de operaciones sujetas a compensación."
110000000001,CANTIDAD ENTIDADES FINANCIERAS,"Cantidad total de entidades financieras autorizadas a operar (suma de bancos + compañías financieras + cajas de crédito), según el cuadro de 'Información de Estructura' del BCRA. Una baja persistente indica concentración del sistema (fusiones, adquisiciones o salidas); una suba refleja entrada de nuevas entidades (típicamente neobancos o digitales)."
110000000002,Bancos,"Cantidad de bancos autorizados a operar (incluye públicos y privados, de capital nacional y extranjero, y sucursales de entidades del exterior). Es el principal subconjunto del sistema. Variaciones suelen reflejar fusiones, cambios de denominación o entradas/salidas. Una caída sostenida indica consolidación; una suba, ingreso de nuevos jugadores."
110000000003,Bancos Públicos,"Cantidad de bancos cuyo control accionario está en manos del Estado (nacional, provincial o municipal). Incluye p.ej. NACION, BAPRO, BANCOR, CIUDAD. La cantidad cambia muy poco en el tiempo: subas/bajas reflejan creaciones puntuales (p.ej. provinciales) o privatizaciones."
110000000004,Bancos Privados,"Cantidad de bancos privados (suma de locales de capital nacional + locales de capital extranjero + sucursales de entidades del exterior). Es el segmento más dinámico en términos de M&A. Una baja indica fusiones/salidas; una suba, ingreso de nuevos bancos (incluye fintechs/neobancos que obtienen licencia bancaria)."
110000000005,Bancos Locales de Capital Nacional,"Cantidad de bancos privados cuyo accionista controlante es residente argentino (p.ej. MACRO, GALICIA, CREDICOOP, COMAFI, SUPERVIELLE). Una suba puede reflejar la 'argentinización' de bancos antes extranjeros (cambios de control); una baja, fusiones o pasaje a control extranjero."
110000000006,Bancos Locales de Capital extranjero,"Cantidad de bancos privados constituidos en Argentina cuyo accionista controlante es no residente (p.ej. SANTANDER, BBVA, ICBC, PATAGONIA). Variaciones suelen responder a operaciones M&A internacionales. Una caída sostenida puede indicar retiro de bancos extranjeros del país."
